stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 2,A2780cis,20k,13.0,3902.5750386666664,324.89741310513335,3,0.67,,
Stage 2,A2780cis,30k,13.0,2827.4429400000004,125.31880545074576,3,1.47,,
Stage 2,A2780cis,30k,13.0,3853.449228666667,266.01027315356396,3,1.0,,
Stage 2,A2780cis,30k,13.0,4146.366087666666,71.7733295781634,3,0.67,,
Stage 2,A2780Naive,20k,14.0,36.60995366666666,5.248702215822245,3,1.47,,
Stage 2,A2780Naive,20k,14.0,2445.406712666667,451.20629363130587,3,1.0,,
Stage 2,A2780Naive,20k,14.0,3458.3808643333336,112.61918876569888,3,0.67,,
Stage 2,A2780Naive,30k,14.0,60.396604999999994,9.669496716562294,3,1.47,,
Stage 2,A2780Naive,30k,14.0,2521.7536263333336,306.73005617608897,3,1.0,,
Stage 2,A2780Naive,30k,14.0,3423.783179,207.9281335508981,3,0.67,,
Stage 2,A2780cis,20k,14.0,3171.784760666667,215.32120040822127,3,1.47,,
Stage 2,A2780cis,20k,14.0,4011.9759260000005,282.3882989257296,3,1.0,,
Stage 2,A2780cis,20k,14.0,2987.771682,184.9359780722052,3,0.67,,
Stage 2,A2780cis,30k,14.0,3433.938387333333,259.1163779524597,3,1.47,,
Stage 2,A2780cis,30k,14.0,4116.669907333334,56.83006844467129,3,1.0,,
Stage 2,A2780cis,30k,14.0,3326.884761,187.73035208121382,3,0.67,,
Stage 3,,20k,1.0,31.28333333333333,8.90110854519443,3,,25-75,resistant
Stage 3,,20k,2.0,54.129999999999995,12.566316087063864,3,,25-75,resistant
Stage 3,,20k,3.0,91.82,18.829328187696976,3,,25-75,resistant
Stage 3,,20k,4.0,189.74333333333334,51.07984958213301,3,,25-75,resistant
Stage 3,,20k,5.0,391.3,100.27477200173531,3,,25-75,resistant
Stage 3,,20k,6.0,609.6966666666667,134.77710352034333,3,,25-75,resistant
Stage 3,,20k,7.0,844.84,155.91750158336936,3,,25-75,resistant
Stage 3,,20k,8.0,1041.4766666666667,217.7848080866371,3,,25-75,resistant
Stage 3,,20k,9.0,1339.68,196.14319233661922,3,,25-75,resistant
Stage 3,,20k,10.0,1081.78,183.4662756475969,3,,25-75,resistant
Stage 3,,20k,11.0,1735.1733333333334,265.68120150536305,3,,25-75,resistant
Stage 3,,20k,12.0,986.3433333333332,270.8956046770292,3,,25-75,resistant
Stage 3,,20k,13.0,1465.8533333333335,313.4275802052738,3,,25-75,resistant
Stage 3,,20k,14.0,1085.67,71.6776122649185,3,,25-75,resistant
Stage 3,,20k,1.0,12.806666666666667,3.0084935322073294,3,,25-75,sensitive
Stage 3,,20k,2.0,36.586666666666666,7.231295411842425,3,,25-75,sensitive
Stage 3,,20k,3.0,105.55666666666667,15.738266528856771,3,,25-75,sensitive
Stage 3,,20k,4.0,270.2266666666667,55.42735455831654,3,,25-75,sensitive
Stage 3,,20k,5.0,849.8733333333333,119.81117324078478,3,,25-75,sensitive
Stage 3,,20k,6.0,860.2633333333333,68.44545005574386,3,,25-75,sensitive
Stage 3,,20k,7.0,1553.246666666667,31.22724184639642,3,,25-75,sensitive
Stage 3,,20k,8.0,1776.5566666666666,62.414918355576965,3,,25-75,sensitive
Stage 3,,20k,9.0,1648.9166666666667,97.25387515843947,3,,25-75,sensitive
Stage 3,,20k,10.0,2098.65,80.38510496354414,3,,25-75,sensitive
Stage 3,,20k,11.0,2367.1166666666663,183.62615018927278,3,,25-75,sensitive
Stage 3,,20k,12.0,2250.2233333333334,144.84315977405814,3,,25-75,sensitive
Stage 3,,20k,13.0,2750.683333333333,306.9719482840955,3,,25-75,sensitive
Stage 3,,20k,14.0,2685.1666666666665,187.86325993480844,3,,25-75,sensitive
Stage 3,,20k,1.0,28.166666666666668,10.042162781658808,3,,50-50,resistant
Stage 3,,20k,2.0,47.166666666666664,15.20575658536376,3,,50-50,resistant
Stage 3,,20k,3.0,85.17,27.85708527466576,3,,50-50,resistant
Stage 3,,20k,4.0,162.80333333333334,50.64221690776712,3,,50-50,resistant
Stage 3,,20k,5.0,316.40666666666664,60.58919568151844,3,,50-50,resistant
Stage 3,,20k,6.0,379.49,61.282516266876634,3,,50-50,resistant
Stage 3,,20k,7.0,534.9,49.97238937653469,3,,50-50,resistant
Stage 3,,20k,8.0,767.0866666666666,105.31585651426536,3,,50-50,resistant
Stage 3,,20k,9.0,892.32,110.2824609808831,3,,50-50,resistant
Stage 3,,20k,10.0,674.7666666666665,128.55422254182602,3,,50-50,resistant
Stage 3,,20k,11.0,1008.0999999999999,110.39479109088434,3,,50-50,resistant
Stage 3,,20k,12.0,618.9333333333333,137.73939499407325,3,,50-50,resistant
Stage 3,,20k,13.0,826.9333333333333,216.44816869942176,3,,50-50,resistant
