stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,logistic,149.5613541239522,868967.7674366365,4.0;297.74,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,logistic_with_lag,152.12630322440555,868967.7502572631,4.0;297.74;7.4861e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,logistic_plus_loss,152.12630348141306,868967.7674365902,4.0;297.74;8.4715e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,transit_compartment_delayed_kill,157.25620217651502,868967.7661116752,4.0;297.74;2.8073e-13;2.2253;4.6788e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,logistic,137.34961789593643,741593.874100985,1.0416;3267.8,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,logistic_plus_loss,139.83452454572392,741593.8741009511,1.0498;3293.4;0.0081695,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,logistic_with_lag,139.83452797087244,741594.0857734123,1.0416;3267.8;2.9115e-6,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,logistic_with_delayed_death,142.29216883441882,739910.9864718642,1.0341;3305.9;0.01526;7.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,logistic_with_smooth_delayed_death,144.4837646869239,722044.8990225864,1.044;3562.8;0.29989;13.5;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-1,Run 2,transit_compartment_delayed_kill,144.80433763614386,741593.8611752142,1.0569;3315.7;0.015261;0.17727;0.33129,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,logistic_with_smooth_delayed_death,91.89458263358529,9021.904793201802,1.2761;415.85;1.2773;5.2782;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,logistic_with_delayed_death,105.11485886594443,33395.48550652778,1.6037;333.58;1.6123;6.4692,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,logistic,120.90580079714397,188384.23160395504,4.0;172.74,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,logistic_with_lag,123.39070743835785,188384.23146935247,4.0;172.74;3.7046e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,logistic_plus_loss,123.3907074469299,188384.2316039224,4.0;172.74;3.8646e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-1,Run 2,transit_compartment_delayed_kill,128.36052101247864,188384.23577934527,4.0;172.74;9.0759e-11;0.15664;4.6788e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,logistic,152.6927841934593,1.1056462328718065e6,1.808;4134.5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,logistic_plus_loss,155.25773355092053,1.1056462328717841e6,1.8096;4138.1;0.0015961,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,logistic_with_lag,155.257755421593,1.1056480929677035e6,1.808;4134.5;5.0857e-6,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,logistic_with_delayed_death,157.82268290838394,1.1056462328719422e6,1.808;4134.5;3.0225e-13;3.1808,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,logistic_with_smooth_delayed_death,160.38763226584464,1.1056462328718712e6,1.808;4134.5;2.8073e-13;4.2863;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 3-1,Run 2,transit_compartment_delayed_kill,160.38763242106083,1.1056462460729652e6,1.81;4139.1;0.0020124;0.54878;0.079505,none; direct low-resource fit
