workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,5.0,349.7527361940182
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,6.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,6.0,2031.948654
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,6.0,684.7981685031399
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,6.0,395.36840692585054
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,7.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,7.0,2395.0393223333335
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,7.0,608.7378204918746
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,7.0,351.4549445268899
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,8.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,8.0,802.9966494333333
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,8.0,464.79163441333566
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,8.0,268.3475752456255
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,9.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,9.0,1534.9288583333334
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,9.0,321.5874284537116
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,9.0,185.66858838574993
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,10.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,10.0,3279.3790000000004
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,10.0,438.75073998683797
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,10.0,253.3128578385484
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,11.0,3.0
