parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
ec50_uM_20k,1.821982844699393,0.001,10.0,0.18211649611955127,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
hill_n_20k,5.093574183874347,0.1,6.0,0.8463685057414148,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
emax_30k,0.31969031683899163,0.0,3.0,0.10656343894633054,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
ec50_uM_30k,1.4854128671805198,0.001,10.0,0.1484561323312851,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
hill_n_30k,4.077914285694071,0.1,6.0,0.6742227602871306,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
k_kill_20k,0.059878614543826196,0.0,8.0,0.0074848268179782745,poorly_identified_at_bound,A2780cis,joint_anchored_linear_kill,independent_diagnostic
k_kill_30k,0.089575496467841,0.0,8.0,0.011196937058480126,poorly_identified_at_bound,A2780cis,joint_anchored_linear_kill,independent_diagnostic
emax_20k,0.9600158406959065,0.0,5.0,0.1920031681391813,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
ec50_effect_20k,0.5479517746277077,0.05,1.0,0.5241597627660082,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
hill_n_20k,9.971187824814747,0.2,12.0,0.828066764814809,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
lambda_20k,0.024353390507842163,0.01,5.0,0.0028764309634954233,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
emax_30k,2.3916387786205737,0.0,5.0,0.47832775572411473,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
ec50_effect_30k,0.4828464835201296,0.05,1.0,0.45562787738961014,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
hill_n_30k,3.243567305102619,0.2,12.0,0.25792943263581514,interior,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
lambda_30k,0.01404450617814676,0.01,5.0,0.0008105222801897313,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,independent_diagnostic
emax_20k,0.9629258569741791,0.0,5.0,0.19258517139483583,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
ec50_effect_20k,0.539702306954272,0.05,1.0,0.5154761125834443,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
hill_n_20k,7.578881687038855,0.2,12.0,0.6253289565287165,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
lambda_20k,0.03815795602412609,0.01,5.0,0.005642876958742703,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
t_onset_20k,2.1544583098585397,0.0,7.0,0.30777975855122,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
emax_30k,0.6127048637320374,0.0,5.0,0.12254097274640748,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
ec50_effect_30k,0.5255093543722017,0.05,1.0,0.5005361624970545,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
hill_n_30k,7.509263185825038,0.2,12.0,0.6194290835444947,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
lambda_30k,0.06489272667390293,0.01,5.0,0.011000546427635857,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
