cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780cis,logistic_growth,shared,20k,K,3955.541892813129,3955.541892813129,0.0,shared_across_densities
A2780cis,logistic_growth,shared,30k,K,3955.541892813129,3955.541892813129,0.0,shared_across_densities
A2780cis,logistic_growth,partial_5pct,20k,r,0.6013009413365592,0.6115785246052837,1.709224543350918,partial_5pct
A2780cis,logistic_growth,partial_5pct,30k,r,0.6013009413365592,0.5911960729582303,-1.6805010076764604,partial_5pct
A2780cis,logistic_growth,partial_5pct,20k,K,3958.367974157589,3971.8703440662957,0.34110951778252296,partial_5pct
A2780cis,logistic_growth,partial_5pct,30k,K,3958.367974157589,3944.9115055440802,-0.33994991626246085,partial_5pct
A2780cis,logistic_growth,independent_diagnostic,20k,r,0.6013108448870144,0.6115737110396289,1.7067488870158076,independent_diagnostic
A2780cis,logistic_growth,independent_diagnostic,30k,r,0.6013108448870144,0.5912202006918928,-1.6781078008026862,independent_diagnostic
A2780cis,logistic_growth,independent_diagnostic,20k,K,3958.419004197479,3971.923583043983,0.3411609238987534,independent_diagnostic
A2780cis,logistic_growth,independent_diagnostic,30k,K,3958.419004197479,3944.9603410505115,-0.34000097343651614,independent_diagnostic
A2780cis,gompertz_growth,shared,20k,r,0.26205914214995446,0.26205914214995446,0.0,shared_across_densities
A2780cis,gompertz_growth,shared,30k,r,0.26205914214995446,0.26205914214995446,0.0,shared_across_densities
A2780cis,gompertz_growth,shared,20k,K,4362.148495063146,4362.148495063146,0.0,shared_across_densities
A2780cis,gompertz_growth,shared,30k,K,4362.148495063146,4362.148495063146,0.0,shared_across_densities
A2780cis,gompertz_growth,partial_5pct,20k,r,0.26208413824895865,0.25688635347406363,-1.9832504208848967,partial_5pct
A2780cis,gompertz_growth,partial_5pct,30k,r,0.26208413824895865,0.267387093914408,2.023379095308697,partial_5pct
A2780cis,gompertz_growth,partial_5pct,20k,K,4365.155074140328,4435.721168783738,1.6165770389567902,partial_5pct
A2780cis,gompertz_growth,partial_5pct,30k,K,4365.155074140328,4295.711586965635,-1.5908595684511528,partial_5pct
A2780cis,gompertz_growth,independent_diagnostic,20k,r,0.26208272880033173,0.25688409496313436,-1.9835850538468591,independent_diagnostic
A2780cis,gompertz_growth,independent_diagnostic,30k,r,0.26208272880033173,0.26738656881534684,2.0237274082474332,independent_diagnostic
A2780cis,gompertz_growth,independent_diagnostic,20k,K,4365.101679300064,4435.635235359259,1.6158513876933567,independent_diagnostic
A2780cis,gompertz_growth,independent_diagnostic,30k,K,4365.101679300064,4295.689717390608,-1.5901568167041025,independent_diagnostic
A2780cis,theta_logistic_growth,shared,20k,r,0.48688247139575735,0.48688247139575735,0.0,shared_across_densities
A2780cis,theta_logistic_growth,shared,30k,r,0.48688247139575735,0.48688247139575735,0.0,shared_across_densities
A2780cis,theta_logistic_growth,shared,20k,K,3802.772131307019,3802.772131307019,0.0,shared_across_densities
A2780cis,theta_logistic_growth,shared,30k,K,3802.772131307019,3802.772131307019,0.0,shared_across_densities
A2780cis,theta_logistic_growth,shared,20k,theta,3.082890807249316,3.082890807249316,0.0,shared_across_densities
A2780cis,theta_logistic_growth,shared,30k,theta,3.082890807249316,3.082890807249316,0.0,shared_across_densities
A2780cis,theta_logistic_growth,partial_5pct,20k,r,0.4806166381092475,0.49683063923724985,3.373582985347423,partial_5pct
A2780cis,theta_logistic_growth,partial_5pct,30k,r,0.4806166381092475,0.4649317787285867,-3.2634865580944528,partial_5pct
A2780cis,theta_logistic_growth,partial_5pct,20k,K,3796.646019881629,3799.050672666412,0.06333623867462723,partial_5pct
A2780cis,theta_logistic_growth,partial_5pct,30k,K,3796.646019881629,3794.242889149462,-0.06329614927446103,partial_5pct
A2780cis,theta_logistic_growth,partial_5pct,20k,theta,3.5540722532991245,3.5540722532991245,0.0,partial_5pct
A2780cis,theta_logistic_growth,partial_5pct,30k,theta,3.5540722532991245,3.5540722532991245,0.0,partial_5pct
A2780cis,theta_logistic_growth,independent_diagnostic,20k,r,0.48066505294264095,0.4975936722000611,3.5219159690896618,independent_diagnostic
A2780cis,theta_logistic_growth,independent_diagnostic,30k,r,0.48066505294264095,0.46431236172846857,-3.402096972530222,independent_diagnostic
A2780cis,theta_logistic_growth,independent_diagnostic,20k,K,3797.0676876436196,3801.208222934158,0.10904560126785423,independent_diagnostic
A2780cis,theta_logistic_growth,independent_diagnostic,30k,K,3797.0676876436196,3792.9316625065603,-0.10892682136056653,independent_diagnostic
