time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
12.0,2824.6677086666664,3270.8186457525217,A2780cis,20k,1.0,IC50,cis_gradual_only
13.0,3906.9917053333334,3284.190991613711,A2780cis,20k,1.0,IC50,cis_gradual_only
14.0,4011.9759260000005,3280.564567620919,A2780cis,20k,1.0,IC50,cis_gradual_only
0.0,67.0,67.0,A2780cis,20k,1.47,IC75,cis_gradual_only
1.0,66.07534733333334,74.26991612258601,A2780cis,20k,1.47,IC75,cis_gradual_only
2.0,136.019406,97.9917753860205,A2780cis,20k,1.47,IC75,cis_gradual_only
3.0,262.4119983333333,147.6750237767191,A2780cis,20k,1.47,IC75,cis_gradual_only
4.0,627.1851849999999,245.15562297743054,A2780cis,20k,1.47,IC75,cis_gradual_only
5.0,1055.7064813333334,431.51788022356965,A2780cis,20k,1.47,IC75,cis_gradual_only
6.0,1644.4327546666666,766.470248827904,A2780cis,20k,1.47,IC75,cis_gradual_only
7.0,1888.7926696666666,1286.5138271132269,A2780cis,20k,1.47,IC75,cis_gradual_only
8.0,1640.846373333333,1911.4748633832999,A2780cis,20k,1.47,IC75,cis_gradual_only
9.0,2390.4506556666665,2450.075624294853,A2780cis,20k,1.47,IC75,cis_gradual_only
10.0,1885.2126543333334,2784.635836218499,A2780cis,20k,1.47,IC75,cis_gradual_only
11.0,2693.7878856666666,2941.650533035013,A2780cis,20k,1.47,IC75,cis_gradual_only
12.0,2554.914467666667,2993.967557940054,A2780cis,20k,1.47,IC75,cis_gradual_only
13.0,3229.3090276666667,2994.5883162021764,A2780cis,20k,1.47,IC75,cis_gradual_only
14.0,3171.784760666667,2971.3911726177494,A2780cis,20k,1.47,IC75,cis_gradual_only
0.0,100.0,100.0,A2780cis,30k,0.67,IC25,cis_gradual_only
1.0,119.12291633333332,113.07973501965671,A2780cis,30k,0.67,IC25,cis_gradual_only
2.0,208.10995366666666,157.90662473152503,A2780cis,30k,0.67,IC25,cis_gradual_only
3.0,381.1926696666667,258.95389735134813,A2780cis,30k,0.67,IC25,cis_gradual_only
4.0,731.6507716666666,472.62364418238974,A2780cis,30k,0.67,IC25,cis_gradual_only
5.0,1291.6760416666666,895.4969001059598,A2780cis,30k,0.67,IC25,cis_gradual_only
6.0,1980.2315586666666,1601.3353701764822,A2780cis,30k,0.67,IC25,cis_gradual_only
7.0,2670.8478393333335,2454.225594899234,A2780cis,30k,0.67,IC25,cis_gradual_only
8.0,2545.009915,3129.6922019893536,A2780cis,30k,0.67,IC25,cis_gradual_only
9.0,3548.7987266666664,3493.646362374152,A2780cis,30k,0.67,IC25,cis_gradual_only
10.0,2897.7104553333334,3644.3070829626254,A2780cis,30k,0.67,IC25,cis_gradual_only
11.0,3797.833449333333,3696.8576486316347,A2780cis,30k,0.67,IC25,cis_gradual_only
12.0,2884.930285666667,3712.084724569996,A2780cis,30k,0.67,IC25,cis_gradual_only
13.0,4146.366087666666,3714.4581286873017,A2780cis,30k,0.67,IC25,cis_gradual_only
14.0,3326.884761,3712.7398309834857,A2780cis,30k,0.67,IC25,cis_gradual_only
0.0,100.0,100.0,A2780cis,30k,1.0,IC50,cis_gradual_only
1.0,117.62118066666666,111.72491232413438,A2780cis,30k,1.0,IC50,cis_gradual_only
2.0,206.52970666666667,150.6543435814839,A2780cis,30k,1.0,IC50,cis_gradual_only
3.0,392.79753066666666,233.978028490924,A2780cis,30k,1.0,IC50,cis_gradual_only
4.0,793.1631946666666,399.5389728149174,A2780cis,30k,1.0,IC50,cis_gradual_only
5.0,1328.3501159999998,710.2278327337316,A2780cis,30k,1.0,IC50,cis_gradual_only
6.0,1947.6582176666668,1224.658400834252,A2780cis,30k,1.0,IC50,cis_gradual_only
7.0,2594.510609333334,1896.3488629804856,A2780cis,30k,1.0,IC50,cis_gradual_only
8.0,2352.0106483333334,2524.610879749485,A2780cis,30k,1.0,IC50,cis_gradual_only
9.0,3220.0850306666666,2942.2853197878326,A2780cis,30k,1.0,IC50,cis_gradual_only
10.0,2953.806751666667,3155.9585280390197,A2780cis,30k,1.0,IC50,cis_gradual_only
11.0,3595.1114196666663,3247.8859064417725,A2780cis,30k,1.0,IC50,cis_gradual_only
