time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
8.0,1489.593287,NaN,NaN,NaN,NaN,NaN
8.0,2035.690394,NaN,NaN,NaN,NaN,NaN
8.0,2466.047569,NaN,NaN,NaN,NaN,NaN
8.0,2414.369329,NaN,NaN,NaN,NaN,NaN
8.0,2157.079398,NaN,NaN,NaN,NaN,NaN
8.0,2451.959259,NaN,NaN,NaN,NaN,NaN
8.0,2423.562269,NaN,NaN,NaN,NaN,NaN
8.0,1593.043519,NaN,NaN,NaN,NaN,NaN
8.0,1651.27037,NaN,NaN,NaN,NaN,NaN
8.0,1574.252431,NaN,NaN,NaN,NaN,NaN
8.0,2284.593866,NaN,NaN,NaN,NaN,NaN
8.0,2395.960764,NaN,NaN,NaN,NaN,NaN
8.0,2375.477315,NaN,NaN,NaN,NaN,NaN
8.0,2507.567708,NaN,NaN,NaN,NaN,NaN
8.0,2475.070602,NaN,NaN,NaN,NaN,NaN
8.0,2652.391435,NaN,NaN,NaN,NaN,NaN
9.0,333.675617,NaN,NaN,NaN,NaN,NaN
9.0,1556.192554,NaN,NaN,NaN,NaN,NaN
9.0,2395.054707,NaN,NaN,NaN,NaN,NaN
9.0,451.471335,NaN,NaN,NaN,NaN,NaN
9.0,1630.943518,NaN,NaN,NaN,NaN,NaN
9.0,3220.295872,NaN,NaN,NaN,NaN,NaN
9.0,267.103819,NaN,NaN,NaN,NaN,NaN
9.0,344.269329,NaN,NaN,NaN,NaN,NaN
9.0,389.653704,NaN,NaN,NaN,NaN,NaN
9.0,1425.170255,NaN,NaN,NaN,NaN,NaN
9.0,1584.317824,NaN,NaN,NaN,NaN,NaN
9.0,1659.089583,NaN,NaN,NaN,NaN,NaN
9.0,2506.363889,NaN,NaN,NaN,NaN,NaN
9.0,2479.985185,NaN,NaN,NaN,NaN,NaN
9.0,2198.815046,NaN,NaN,NaN,NaN,NaN
9.0,425.967361,NaN,NaN,NaN,NaN,NaN
9.0,495.059144,NaN,NaN,NaN,NaN,NaN
9.0,433.3875,NaN,NaN,NaN,NaN,NaN
9.0,1603.51331,NaN,NaN,NaN,NaN,NaN
9.0,1728.071412,NaN,NaN,NaN,NaN,NaN
9.0,1561.245833,NaN,NaN,NaN,NaN,NaN
9.0,2886.875116,NaN,NaN,NaN,NaN,NaN
9.0,3365.264815,NaN,NaN,NaN,NaN,NaN
9.0,3408.747685,NaN,NaN,NaN,NaN,NaN
9.0,2390.450656,NaN,NaN,NaN,NaN,NaN
9.0,3049.632677,NaN,NaN,NaN,NaN,NaN
9.0,3261.814429,NaN,NaN,NaN,NaN,NaN
9.0,2421.258526,NaN,NaN,NaN,NaN,NaN
9.0,3220.085031,NaN,NaN,NaN,NaN,NaN
9.0,3548.798727,NaN,NaN,NaN,NaN,NaN
9.0,2492.358449,NaN,NaN,NaN,NaN,NaN
9.0,2328.386921,NaN,NaN,NaN,NaN,NaN
9.0,2350.606597,NaN,NaN,NaN,NaN,NaN
9.0,2842.74294,NaN,NaN,NaN,NaN,NaN
9.0,3178.341319,NaN,NaN,NaN,NaN,NaN
9.0,3127.813773,NaN,NaN,NaN,NaN,NaN
9.0,3053.332176,NaN,NaN,NaN,NaN,NaN
9.0,3249.810995,NaN,NaN,NaN,NaN,NaN
9.0,3482.300116,NaN,NaN,NaN,NaN,NaN
9.0,2385.082407,NaN,NaN,NaN,NaN,NaN
9.0,2504.958218,NaN,NaN,NaN,NaN,NaN
9.0,2373.734954,NaN,NaN,NaN,NaN,NaN
9.0,3032.127778,NaN,NaN,NaN,NaN,NaN
9.0,3171.603819,NaN,NaN,NaN,NaN,NaN
9.0,3456.523495,NaN,NaN,NaN,NaN,NaN
9.0,3487.466319,NaN,NaN,NaN,NaN,NaN
9.0,3541.178935,NaN,NaN,NaN,NaN,NaN
9.0,3617.750926,NaN,NaN,NaN,NaN,NaN
10.0,232.341744,NaN,NaN,NaN,NaN,NaN
10.0,1522.992284,NaN,NaN,NaN,NaN,NaN
10.0,2537.198418,NaN,NaN,NaN,NaN,NaN
10.0,351.642129,NaN,NaN,NaN,NaN,NaN
10.0,1765.695949,NaN,NaN,NaN,NaN,NaN
10.0,2758.770833,NaN,NaN,NaN,NaN,NaN
10.0,201.815394,NaN,NaN,NaN,NaN,NaN
10.0,240.090162,NaN,NaN,NaN,NaN,NaN
10.0,255.119676,NaN,NaN,NaN,NaN,NaN
10.0,1622.392708,NaN,NaN,NaN,NaN,NaN
10.0,1759.786343,NaN,NaN,NaN,NaN,NaN
10.0,1186.797801,NaN,NaN,NaN,NaN,NaN
10.0,2712.872801,NaN,NaN,NaN,NaN,NaN
10.0,2663.041204,NaN,NaN,NaN,NaN,NaN
10.0,2235.68125,NaN,NaN,NaN,NaN,NaN
10.0,370.128356,NaN,NaN,NaN,NaN,NaN
10.0,401.274074,NaN,NaN,NaN,NaN,NaN
10.0,283.523958,NaN,NaN,NaN,NaN,NaN
10.0,1878.830903,NaN,NaN,NaN,NaN,NaN
10.0,1713.246759,NaN,NaN,NaN,NaN,NaN
10.0,1705.010185,NaN,NaN,NaN,NaN,NaN
10.0,2591.903588,NaN,NaN,NaN,NaN,NaN
10.0,2762.65162,NaN,NaN,NaN,NaN,NaN
10.0,2921.757292,NaN,NaN,NaN,NaN,NaN
10.0,1885.212654,NaN,NaN,NaN,NaN,NaN
10.0,3134.858873,NaN,NaN,NaN,NaN,NaN
