time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
10.0,2744.403163333333,3458.31225858579,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,3624.0109566666665,3592.790365510106,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,2656.8393906666665,3650.039334759863,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3902.5750386666664,3679.7815211115867,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,2987.771682,3698.971471108586,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,82.57476866666666,109.02229880556588,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,153.74926733333334,177.3981929060558,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,298.6227236666667,288.63772228558037,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,584.2937496666667,469.4859983550318,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1028.8575233333333,762.5911129130488,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1728.4681713333332,1231.1602928599514,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,2346.5103780000004,1792.5461641773536,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,2305.3690973333332,1830.2105324349,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,3049.6326773333335,2304.0488614791475,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,3134.858873333333,2803.8746020499516,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,3720.5385029999998,3141.1209143610076,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,2824.6677086666664,3304.7094251764775,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3906.9917053333334,3369.7038107615276,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,4011.9759260000005,3393.2779687369057,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.0,IC50,0.5,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,66.07534733333334,109.02229880556588,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,136.019406,177.3981929060558,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,262.4119983333333,288.63772228558037,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,627.1851849999999,469.4859983550318,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1055.7064813333334,762.5911129130488,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1644.4327546666666,1231.1602928599514,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,1888.7926696666666,1709.9571550454623,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,1640.846373333333,1620.9802429122587,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,2390.4506556666665,1968.8886713322188,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,1885.2126543333334,2328.1547652683694,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,2693.7878856666666,2627.3917521932017,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,2554.914467666667,2833.14679386561,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3229.3090276666667,2953.2293367059183,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,3171.784760666667,3015.8836830184814,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,1.47,IC75,0.75,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,100.0,100.0,true,joint_ic_effect_two_population,partial_5pct,A2780cis,30k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,119.12291633333332,162.71810015648202,false,joint_ic_effect_two_population,partial_5pct,A2780cis,30k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
