Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A3.tif,3148.011111111111,71.50659775,835.14,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A6.tif,3321.554166666667,75.44860209,1996.1,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B3.tif,4375.302777777778,99.38434291,1125.4,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B6.tif,2618.817361111111,59.4860415,1637.6,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C3.tif,4047.217361111112,91.93193214,1223.5,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C6.tif,3023.757638888889,68.68419886,2926.6,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A3.tif,4250.420138888889,96.5476526,1879.4,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A6.tif,4131.265277777778,93.84106789,1079.9,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B3.tif,4107.270833333333,93.2960377,1976.2,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B6.tif,3519.370138888889,79.94196207,2225.1,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C3.tif,3497.757638888889,79.45103739,2225.1,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C6.tif,3945.4583333333335,89.62049116,796.73,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A3.tif,3943.370833333333,89.57307392,2590.8,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A6.tif,2834.8395833333334,64.39295371,534.95,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B3.tif,4196.179166666667,95.31557709,1294.7,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B6.tif,3607.252083333333,81.93818719,3407.4,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C3.tif,3623.170833333333,82.29977919,1431.3,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C6.tif,3658.871527777778,83.11071509,1553.6,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A3.tif,3956.7840277777777,89.87775261,1304.6,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A6.tif,2407.029861111111,54.67532037,1234.9,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B3.tif,3711.906944444445,84.31540658,2235.1,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B6.tif,3444.1916666666666,78.23429441,1853.8,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C3.tif,3302.9465277777776,75.02593238,1340.2,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C6.tif,3486.831944444444,79.20286189,486.57,
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A3.tif,106.275,2.414020601,5844.6,1.709844501
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A6.tif,42.59513888888889,0.967542158,2492.6,1.692190541
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B3.tif,63.19166666666667,1.435389181,3593.8,1.110732466
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B6.tif,47.94375,1.089035053,2808.5,
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C3.tif,36.78958333333333,0.835669838,1804.0,1.523577479
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C6.tif,58.05763888888888,1.318770514,3507.0,1.043295128
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A3.tif,80.62152777777777,1.831305848,4145.8,0.903990531
25-75_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A6.tif,76.28194444444445,1.732732867,3721.9,
