source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,k_rep,1.446,746822.1,449.26139,460.10137,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,kmax,3.7688,746822.1,449.26139,460.10137,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,n,1.9989,746822.1,449.26139,460.10137,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,lag_hill_inhibition,Emax,0.99,9002.5205,248.43688,257.47019,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,lag_hill_inhibition,IC50,1,9002.5205,248.43688,257.47019,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,lag_hill_inhibition,m,0.8959,9002.5205,248.43688,257.47019,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,lag_hill_inhibition,n,5.7646,9002.5205,248.43688,257.47019,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,lag_hill_inhibition,t_lag,1.8134,9002.5205,248.43688,257.47019,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,pkpd_hill_inhibition,Emax,1,9244.0455,247.62826,254.85491,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,pkpd_hill_inhibition,IC50,1,9244.0455,247.62826,254.85491,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,pkpd_hill_inhibition,k_e,0,9244.0455,247.62826,254.85491,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,pkpd_hill_inhibition,n,5.9995,9244.0455,247.62826,254.85491,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,K50R,52.9613,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,K50S,42.9538,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,S0_frac,0.0179,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,kR_max,1.3755,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,kS_max,3.3802,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,n,5.6161,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,rR_scale,0.1022,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,sensitive_resistant,rS_scale,0.223,28899.312,306.92098,321.37428,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition,Emax,1,9248.7634,245.65122,251.07121,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition,IC50,1,9248.7634,245.65122,251.07121,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition,n,5.9987,9248.7634,245.65122,251.07121,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition_dde,Emax,0.9994,9428.3095,248.51643,255.74308,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition_dde,IC50,1,9428.3095,248.51643,255.74308,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition_dde,n,5.981,9428.3095,248.51643,255.74308,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_inhibition_dde,tau,3,9428.3095,248.51643,255.74308,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill,K50,1.7722,1839.4322,172.97474,178.39473,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill,kmax,2.9463,1839.4322,172.97474,178.39473,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill,n,3.205,1839.4322,172.97474,178.39473,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill_dde,K50,0.8022,244389.5,394.99352,402.22017,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill_dde,kmax,0.8729,244389.5,394.99352,402.22017,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill_dde,n,0.6649,244389.5,394.99352,402.22017,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,theta_hill_kill_dde,tau,5.2084,244389.5,394.99352,402.22017,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,time_delay,alpha,0.8371,1288667.7,469.81056,477.03721,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,time_delay,beta,0.4865,1288667.7,469.81056,477.03721,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,time_delay,kD,94.3239,1288667.7,469.81056,477.03721,
